"Freq [GHz]","Theta [deg]","Phi [deg]","dB(RealizedGainTotal) []"
2.4,90,164,-2.69102599738696
2.4,90,166,-2.81646026952544
2.4,90,168,-2.77637982874159
2.4,90,170,-2.57897038401086
2.4,90,172,-2.27071833409194
2.4,90,174,-1.91519802525927
2.4,90,176,-1.57241335923536
2.4,90,178,-1.28858078651624
2.4,90,180,-1.09491612520405
4,90,-180,-7.30694516158568
4,90,-178,-8.65901805785637
4,90,-176,-10.2384482231583
4,90,-174,-11.8902259826252
4,90,-172,-13.1587279996536
4,90,-170,-13.4034771674446
4,90,-168,-12.5596777066455
4,90,-166,-11.2034012969296
4,90,-164,-9.78310196062783
4,90,-162,-8.45557223255675
4,90,-160,-7.25245688539315
4,90,-158,-6.18283863394692
4,90,-156,-5.26267529597368
4,90,-154,-4.51357375793643
4,90,-152,-3.95461901404756
4,90,-150,-3.59640222402665
4,90,-148,-3.43878427786504
4,90,-146,-3.47162157691616
4,90,-144,-3.67798628022176
4,90,-142,-4.03981396684606
4,90,-140,-4.54481299364922
4,90,-138,-5.19053228355118
4,90,-136,-5.97783477415083
4,90,-134,-6.88275075821261
4,90,-132,-7.79556723120272
4,90,-130,-8.45010509843848
4,90,-128,-8.4995575785749
4,90,-126,-7.86093920350606
4,90,-124,-6.84163825889855
4,90,-122,-5.80354031846586
4,90,-120,-4.94680606023916
4,90,-118,-4.3354283604117
4,90,-116,-3.96166035833213
4,90,-114,-3.78212544050714
4,90,-112,-3.73477151813335
4,90,-110,-3.75120342467702
4,90,-108,-3.77136195705879
4,90,-106,-3.75837725213418
4,90,-104,-3.70507047101615
4,90,-102,-3.62703478805537
4,90,-100,-3.54760025507138
4,90,-98,-3.48466576426181
4,90,-96,-3.44491327726481
4,90,-94,-3.42498695402546
4,90,-92,-3.41674094700923
4,90,-90,-3.41357210012618
4,90,-88,-3.41538004054354
4,90,-86,-3.43060285280404
4,90,-84,-3.47517044670863
4,90,-82,-3.56948396482314
4,90,-80,-3.73487129260562
4,90,-78,-3.99035614521952
4,90,-76,-4.3496427862539
4,90,-74,-4.81751398488877
4,90,-72,-5.3845972092533
4,90,-70,-6.02003728792987
4,90,-68,-6.66416983327664
4,90,-66,-7.22912260002041
4,90,-64,-7.62028634835604
4,90,-62,-7.77950965443917
4,90,-60,-7.71774341337979
4,90,-58,-7.50113167996911
4,90,-56,-7.20580285162911
4,90,-54,-6.88458940271356
4,90,-52,-6.5614872549526
4,90,-50,-6.2431252873758
4,90,-48,-5.93323167948
4,90,-46,-5.64147296170837
4,90,-44,-5.38399870425349
4,90,-42,-5.17812948233209
4,90,-40,-5.0358319365592
4,90,-38,-4.95945948447449
4,90,-36,-4.94093709839375
4,90,-34,-4.96406590181291
4,90,-32,-5.00896435651666
4,90,-30,-5.05717500020416
4,90,-28,-5.09560154356352
4,90,-26,-5.11781020644099
4,90,-24,-5.12255631573003
4,90,-22,-5.11084614416733
4,90,-20,-5.08332165999254
4,90,-18,-5.03910701736775
4,90,-16,-4.97620164256755
4,90,-14,-4.89274863741209
4,90,-12,-4.7882885179744
4,90,-10,-4.66434264880823
4,90,-8,-4.52414974964159
4,90,-6,-4.37185578628367
4,90,-4,-4.21172139754382
4,90,-2,-4.04786208433806
4,90,0,-3.88470278265356
4,90,2,-3.72784287394158
4,90,4,-3.58461192021801
4,90,6,-3.4635020719638
4,90,8,-3.3720147643938
4,90,10,-3.31314400497039
4,90,12,-3.28152420109273
4,90,14,-3.26110478347099
4,90,16,-3.22688179708146
4,90,18,-3.15269072541786
4,90,20,-3.02371140549715
4,90,22,-2.84709297664512
4,90,24,-2.65291108712962
4,90,26,-2.4843697104553
4,90,28,-2.38401440817337
4,90,30,-2.3833169688737
4,90,32,-2.49827498386168
4,90,34,-2.73005954565114
4,90,36,-3.06894603884175
4,90,38,-3.49971003229683
4,90,40,-4.00570848340986
4,90,42,-4.56760398271952
4,90,44,-5.15366446890396
4,90,46,-5.70470879944965
4,90,48,-6.12939912498227
4,90,50,-6.33518350697222
4,90,52,-6.29319978019558
4,90,54,-6.07361184149741
4,90,56,-5.80303149787635
4,90,58,-5.59259946283825
4,90,60,-5.49712936471521
4,90,62,-5.50719330247993
4,90,64,-5.55768149214075
4,90,66,-5.55351465713025
4,90,68,-5.41866130885843
4,90,70,-5.14564149036174
4,90,72,-4.80015695750364
4,90,74,-4.47837904737383
4,90,76,-4.26258506659547
4,90,78,-4.20274014784155
4,90,80,-4.31715140779892
4,90,82,-4.59864372376057
4,90,84,-5.02034883536561
4,90,86,-5.54163192909505
4,90,88,-6.11703488966135
4,90,90,-6.70910917103342
4,90,92,-7.29972229697635
4,90,94,-7.8887401528983
4,90,96,-8.47128653094734
4,90,98,-8.99486104495281
4,90,100,-9.31708332530365
4,90,102,-9.22951337928925
4,90,104,-8.61227584465929
4,90,106,-7.57226517904218
4,90,108,-6.34879716894242
4,90,110,-5.14060140624104
4,90,112,-4.051182633682
4,90,114,-3.11371465357218
4,90,116,-2.32382453761323
4,90,118,-1.66129947709882
4,90,120,-1.10311700821802
4,90,122,-0.631179060409955
4,90,124,-0.235723167081164
4,90,126,0.0854673102851451
4,90,128,0.331093014956503
4,90,130,0.501539098705632
4,90,132,0.6029260665788
4,90,134,0.648275936276845
4,90,136,0.655040904945005
4,90,138,0.63962112640045
4,90,140,0.611247054152676
4,90,142,0.568624657793077
4,90,144,0.501517281283466
4,90,146,0.396392553134513
4,90,148,0.242985926345627
4,90,150,0.0387423638376862
4,90,152,-0.210331234521455
4,90,154,-0.492324652076668
4,90,156,-0.794352668291513
4,90,158,-1.10759666766587
4,90,160,-1.43010766143969
4,90,162,-1.76622346391782
4,90,164,-2.1235888446794
4,90,166,-2.51022681252933
4,90,168,-2.93384762876844
4,90,170,-3.4040163823107
4,90,172,-3.93602737477447
4,90,174,-4.55431643031878
4,90,176,-5.29349293796777
4,90,178,-6.19615906393894
4,90,180,-7.30694516158568
6,90,-180,-11.1847386755771
6,90,-178,-9.04905621401821
6,90,-176,-7.42688589875198
6,90,-174,-6.21391714321663
6,90,-172,-5.32420990302102
6,90,-170,-4.70180073452059
6,90,-168,-4.32657447430311
6,90,-166,-4.21264810754013
6,90,-164,-4.39599393973119
6,90,-162,-4.91718222159063
6,90,-160,-5.80936380000501
6,90,-158,-7.0987091106031
6,90,-156,-8.80872432882331
6,90,-154,-10.8757318709522
6,90,-152,-12.6021451936323
6,90,-150,-12.1622451763052
6,90,-148,-9.79822176967116
6,90,-146,-7.41360181427506
6,90,-144,-5.61702126402081
6,90,-142,-4.36445714292741
6,90,-140,-3.48403674329867
6,90,-138,-2.82577322227305
6,90,-136,-2.33164133440204
6,90,-134,-2.04098973916099
6,90,-132,-2.03222769093676
6,90,-130,-2.35710787882653
6,90,-128,-3.00136244857458
6,90,-126,-3.85924279373528
6,90,-124,-4.70732898908741
6,90,-122,-5.21822138463744
6,90,-120,-5.1323607751206
6,90,-118,-4.50978919499804
6,90,-116,-3.66979176772643
6,90,-114,-2.90726501185461
6,90,-112,-2.37024347397732
6,90,-110,-2.08662288601785
6,90,-108,-2.01788260364503
6,90,-106,-2.1081891304367
6,90,-104,-2.32502790110101
6,90,-102,-2.67335417942204
6,90,-100,-3.16781672648087
6,90,-98,-3.77320824769016
6,90,-96,-4.34595552630409
6,90,-94,-4.65044173763667
6,90,-92,-4.53293690999371
6,90,-90,-4.09055291210009
6,90,-88,-3.56269676599064
6,90,-86,-3.12508301416117
6,90,-84,-2.82683681105757
6,90,-82,-2.62543488763445
6,90,-80,-2.44414060616383
6,90,-78,-2.22738595822255
6,90,-76,-1.96887071559957
6,90,-74,-1.69615926038226
6,90,-72,-1.43622863450974
6,90,-70,-1.19873563452898
6,90,-68,-0.98493067218944
6,90,-66,-0.804198539323254
6,90,-64,-0.678951473396523
6,90,-62,-0.63519073750626
6,90,-60,-0.690484743922961
6,90,-58,-0.85009276800961
6,90,-56,-1.11160541516085
6,90,-54,-1.47003567614059
6,90,-52,-1.91480372660261
6,90,-50,-2.41911184832686
6,90,-48,-2.93533099498628
6,90,-46,-3.4130157801691
6,90,-44,-3.83304952209169
6,90,-42,-4.21832010271126
6,90,-40,-4.59743765746169
6,90,-38,-4.95687452189203
6,90,-36,-5.23367652520374
6,90,-34,-5.35902248098116
6,90,-32,-5.30665601740782
6,90,-30,-5.09571707654768
6,90,-28,-4.76368843695991
6,90,-26,-4.35232862637233
6,90,-24,-3.90623670268843
6,90,-22,-3.46439366759146
6,90,-20,-3.04670166339361
6,90,-18,-2.65009846089704
6,90,-16,-2.25983531930688
6,90,-14,-1.86833398300746
6,90,-12,-1.48783519791862
6,90,-10,-1.14842828775821
6,90,-8,-0.885491880572971
6,90,-6,-0.726832275198904
6,90,-4,-0.685932984522835
6,90,-2,-0.761893938768041
6,90,0,-0.94430309653323
6,90,2,-1.22090089890977
6,90,4,-1.58478251378162
6,90,6,-2.03622671564934
6,90,8,-2.57466145464936
6,90,10,-3.18063639001856
6,90,12,-3.7961291456207
6,90,14,-4.32320469823162
6,90,16,-4.66099517575748
6,90,18,-4.75739485967127
6,90,20,-4.60959169917036
6,90,22,-4.22196469431039
6,90,24,-3.61449454709081
6,90,26,-2.88113763819456
6,90,28,-2.18892026246203
6,90,30,-1.70366046522054
6,90,32,-1.52837052039164
6,90,34,-1.68515303156208
6,90,36,-2.11998260315667
6,90,38,-2.72491487901121
6,90,40,-3.38582943829103
6,90,42,-4.0250398712563
6,90,44,-4.57419828331416
6,90,46,-4.90909037556867
6,90,48,-4.90254310877663
6,90,50,-4.59335424269863
6,90,52,-4.18264270495512
6,90,54,-3.84239991582988
6,90,56,-3.62144756316076
6,90,58,-3.50341388222431
6,90,60,-3.50066454657392
6,90,62,-3.68086590033309
6,90,64,-4.11296542729454
6,90,66,-4.79651146762581
6,90,68,-5.62782614553873
6,90,70,-6.44546034240925
6,90,72,-7.17440524762806
6,90,74,-7.92882064895511
6,90,76,-8.90527953622089
6,90,78,-10.144115030744
6,90,80,-11.2463905954697
6,90,82,-11.4050757694098
6,90,84,-10.5004569501446
6,90,86,-9.29438214517067
6,90,88,-8.26805973311347
6,90,90,-7.44448078719813
6,90,92,-6.68136591200783
6,90,94,-5.89630753911659
6,90,96,-5.15831549587809
6,90,98,-4.62659196127378
6,90,100,-4.4534267048594
6,90,102,-4.74745059722933
6,90,104,-5.58163144861585
6,90,106,-7.00648411856923
6,90,108,-9.03590006178838
6,90,110,-11.4946272829078
6,90,112,-13.3490697100476
6,90,114,-12.6596715752759
6,90,116,-10.1535297081335
6,90,118,-7.60671732609936
6,90,120,-5.52332555532616
6,90,122,-3.91945725812528
6,90,124,-2.71303962833973
6,90,126,-1.80484604100386
6,90,128,-1.10928947358153
6,90,130,-0.574037790969951
6,90,132,-0.177959090891121
6,90,134,0.0926737802781293
6,90,136,0.267413017754558
6,90,138,0.391287946646917
6,90,140,0.499662661169716
6,90,142,0.594013629764836
6,90,144,0.646971858931952
6,90,146,0.630987620331315
6,90,148,0.53823643788203
6,90,150,0.372700351437575
6,90,152,0.125697818348093
6,90,154,-0.237794820640968
6,90,156,-0.768191099144929
6,90,158,-1.50875818123141
6,90,160,-2.481827949726
6,90,162,-3.69182964554768
6,90,164,-5.1418619560475
6,90,166,-6.85545563605184
6,90,168,-8.89355004923867
6,90,170,-11.3522337494295
6,90,172,-14.2566546940851
6,90,174,-16.8438265892982
6,90,176,-16.5761233285506
6,90,178,-13.8807350598451
6,90,180,-11.1847386755771
