"Freq [GHz]","Theta [deg]","Phi [deg]","ang_deg(rETheta) [deg]"
4,90,0,-57.8615966485329
4,90,2,-57.8159758503728
4,90,4,-57.8629333834222
4,90,6,-58.0076896921255
4,90,8,-58.258697489841
4,90,10,-58.6270384958433
4,90,12,-59.1253272088394
4,90,14,-59.7658720983631
4,90,16,-60.5578714525541
4,90,18,-61.5036027535704
4,90,20,-62.5939679158857
4,90,22,-63.80436472312
4,90,24,-65.0924642232034
4,90,26,-66.3996520541696
4,90,28,-67.6571500977938
4,90,30,-68.7960824278795
4,90,32,-69.7587046515448
4,90,34,-70.506967942388
4,90,36,-71.0254077619872
4,90,38,-71.3176507753014
4,90,40,-71.3982758235311
4,90,42,-71.2831359649152
4,90,44,-70.9812373812454
4,90,46,-70.490338884998
4,90,48,-69.7972151510628
4,90,50,-68.8823733344304
4,90,52,-67.7279726178385
4,90,54,-66.3267716192763
4,90,56,-64.6893554409127
4,90,58,-62.8471418363276
4,90,60,-60.8500402059964
4,90,62,-58.7597607945459
4,90,64,-56.6415554547587
4,90,66,-54.5575668451375
4,90,68,-52.5638524009127
4,90,70,-50.7114000102701
4,90,72,-49.0501004722345
4,90,74,-47.6341338448174
4,90,76,-46.5273463417188
4,90,78,-45.8074405703084
4,90,80,-45.5677189564894
4,90,82,-45.914418805183
4,90,84,-46.9563422722788
4,90,86,-48.7822183500878
4,90,88,-51.4224358609404
4,90,90,-54.7999753147728
4,90,92,-58.6927710491117
4,90,94,-62.7440480805983
4,90,96,-66.5399435608113
4,90,98,-69.7212384441485
4,90,100,-72.0634728570065
4,90,102,-73.4904180155456
4,90,104,-74.0386139942238
4,90,106,-73.8091234629798
4,90,108,-72.9289196010975
4,90,110,-71.5269484012018
4,90,112,-69.7217261175117
4,90,114,-67.6162329834453
4,90,116,-65.2971734848776
4,90,118,-62.8368944265915
4,90,120,-60.2967585551891
4,90,122,-57.7307865803011
4,90,124,-55.1883675916943
4,90,126,-52.7151756233163
4,90,128,-50.3521988306087
4,90,130,-48.1336999811408
4,90,132,-46.0855045442916
4,90,134,-44.2249374924777
4,90,136,-42.5630711390022
4,90,138,-41.1090521998322
4,90,140,-39.8754772568972
4,90,142,-38.8832330613762
4,90,144,-38.1639763471048
4,90,146,-37.7586426884771
4,90,148,-37.7112540515261
4,90,150,-38.0588363959235
4,90,152,-38.8199651550179
4,90,154,-39.9854526098264
4,90,156,-41.5142994996078
4,90,158,-43.3363144420573
4,90,160,-45.3605440356269
4,90,162,-47.4868629389692
4,90,164,-49.61744227182
4,90,166,-51.6654426165019
4,90,168,-53.5596919549855
4,90,170,-55.245581483675
4,90,172,-56.6833723915623
4,90,174,-57.8453717273141
4,90,176,-58.7131596367681
4,90,178,-59.2755255199406
4,90,180,-59.5272584456061
6,90,-180,58.4589298158966
6,90,-178,58.0566514924082
6,90,-176,57.4305794918666
6,90,-174,56.5818222421586
6,90,-172,55.5250131307227
6,90,-170,54.3031730503001
6,90,-168,52.9821944775277
6,90,-166,51.6203529012094
6,90,-164,50.227731364546
6,90,-162,48.7418365391096
6,90,-160,47.0393745774433
6,90,-158,44.9850249885247
6,90,-156,42.4970337360366
6,90,-154,39.594227768469
6,90,-152,36.3894992594268
6,90,-150,33.0239991986266
6,90,-148,29.5840842201572
6,90,-146,26.0643655611084
6,90,-144,22.4079256016523
6,90,-142,18.5970558774821
6,90,-140,14.7260273365742
6,90,-138,10.989644600666
6,90,-136,7.58466252406766
6,90,-134,4.60310025110325
6,90,-132,2.0082954380338
6,90,-130,-0.27577385520589
6,90,-128,-2.1815496169826
6,90,-126,-3.25099140188116
6,90,-124,-2.33932748646921
6,90,-122,2.73487946342337
6,90,-120,15.0552310038715
6,90,-118,34.5607897753712
6,90,-116,52.2767112618264
6,90,-114,61.6635115508157
6,90,-112,64.3799268192464
6,90,-110,63.2509700829396
6,90,-108,60.0573303635011
6,90,-106,55.8002770124613
6,90,-104,51.0412394955759
6,90,-102,46.1137580094392
6,90,-100,41.2644480311873
6,90,-98,36.7382011347303
6,90,-96,32.8031266195531
6,90,-94,29.7218591405513
6,90,-92,27.6960461962742
6,90,-90,26.8168481844165
6,90,-88,27.0408878922994
6,90,-86,28.1955780480821
6,90,-84,30.012861022573
6,90,-82,32.1874165834008
6,90,-80,34.4428998663197
6,90,-78,36.577429258714
6,90,-76,38.4680234932264
6,90,-74,40.041577545302
6,90,-72,41.2415890281556
6,90,-70,42.0181550845352
6,90,-68,42.3499968967051
6,90,-66,42.2843561089832
6,90,-64,41.9615386478934
6,90,-62,41.5881302091974
6,90,-60,41.3543896933939
6,90,-58,41.34496399497
6,90,-56,41.5105609361446
6,90,-54,41.721151168388
6,90,-52,41.8565600512025
6,90,-50,41.8665626456467
6,90,-48,41.7577593618863
6,90,-46,41.5188870809198
6,90,-44,41.0514109354575
6,90,-42,40.1806148234907
6,90,-40,38.7576649710879
6,90,-38,36.7804508495789
6,90,-36,34.4431953175318
6,90,-34,32.0806492777109
6,90,-32,30.0465138734869
6,90,-30,28.6001492141749
6,90,-28,27.8508696458888
6,90,-26,27.7615847871596
6,90,-24,28.1896657352782
6,90,-22,28.943355151042
6,90,-20,29.8340992103891
6,90,-18,30.7078740112274
6,90,-16,31.4530147152387
6,90,-14,31.998189196293
6,90,-12,32.3134290158562
6,90,-10,32.413718703073
6,90,-8,32.3560573886231
6,90,-6,32.2240815874966
6,90,-4,32.1036645146627
6,90,-2,32.0595582673179
6,90,0,32.1221914266526
6,90,2,32.2870517481016
6,90,4,32.5226118178633
6,90,6,32.7806381609083
6,90,8,33.004616300849
6,90,10,33.1351442603041
6,90,12,33.113478672667
6,90,14,32.8859872511043
6,90,16,32.4138600703613
6,90,18,31.6928525764108
6,90,20,30.7826762354924
6,90,22,29.832372100293
6,90,24,29.0763264425516
6,90,26,28.7851173633581
6,90,28,29.1861414252328
6,90,30,30.3889244239255
6,90,32,32.3413681941366
6,90,34,34.8291320152673
6,90,36,37.526303368181
6,90,38,40.091565299919
6,90,40,42.2724135487655
6,90,42,43.9647967565728
6,90,44,45.201754751706
6,90,46,46.0888939322736
6,90,48,46.7331787896839
6,90,50,47.2091716841905
6,90,52,47.5723625769051
6,90,54,47.8872987530021
6,90,56,48.2286344208175
6,90,58,48.6437819476898
6,90,60,49.1060510982683
6,90,62,49.5031553659907
6,90,64,49.68182386424
6,90,66,49.5218419377098
6,90,68,48.9882933720925
6,90,70,48.1321222861099
6,90,72,47.0477803645118
6,90,74,45.8185290050795
6,90,76,44.4804267865511
6,90,78,43.0240545963151
6,90,80,41.4344586138083
6,90,82,39.7495583251805
6,90,84,38.1032090487561
6,90,86,36.7216459220638
6,90,88,35.8675635347578
6,90,90,35.7615440459975
6,90,92,36.5246154131638
6,90,94,38.1656357433901
6,90,96,40.6068443853319
6,90,98,43.7257089079483
6,90,100,47.3917635026405
6,90,102,51.4835622625754
6,90,104,55.8785526384139
6,90,106,60.4171058937303
6,90,108,64.8490816325989
6,90,110,68.7697246037513
6,90,112,71.5269262680599
6,90,114,72.0202234394631
6,90,116,68.2469924356833
6,90,118,56.893228464897
6,90,120,36.7362440605444
6,90,122,17.127107790045
6,90,124,6.40248150327116
6,90,126,2.52138540237697
6,90,128,2.06453384202283
6,90,130,3.1691992980643
6,90,132,5.06369225598053
6,90,134,7.51558415330298
6,90,136,10.4773235299927
6,90,138,13.880885396236
6,90,140,17.5646452528785
6,90,142,21.3166852946605
6,90,144,24.9751046718092
6,90,146,28.4955837899652
6,90,148,31.9332234462159
6,90,150,35.3585239483656
6,90,152,38.7715068981961
6,90,154,42.0727418970973
6,90,156,45.1073185586563
6,90,158,47.7453231182924
6,90,160,49.9416103832557
6,90,162,51.7431040516396
6,90,164,53.250879938159
6,90,166,54.5647827083328
6,90,168,55.7393912310291
6,90,170,56.7704402818399
6,90,172,57.6134786956424
6,90,174,58.2184615651745
6,90,176,58.5574366661879
6,90,178,58.6315263137673
6,90,180,58.4589298158966
