"Freq [GHz]","Phi [deg]","Theta [deg]","dB(RealizedGainTotal) []"
0.9,0,158,-19.6340892411616
0.9,0,160,-19.7045962697342
0.9,0,162,-19.8010304383587
0.9,0,164,-19.9241029244337
0.9,0,166,-20.0744252157699
0.9,0,168,-20.2524849662672
0.9,0,170,-20.4586097812435
0.9,0,172,-20.6929151692029
0.9,0,174,-20.955231745515
0.9,0,176,-21.2450054928248
0.9,0,178,-21.5611636885065
0.9,0,180,-21.9019385030291
2.4,0,0,-9.14376620071287
2.4,0,2,-8.37880521564051
2.4,0,4,-7.46907406313082
2.4,0,6,-6.49846780726146
2.4,0,8,-5.54063297581171
2.4,0,10,-4.6452105596483
2.4,0,12,-3.83955038919103
2.4,0,14,-3.13520161997819
2.4,0,16,-2.53376980797762
2.4,0,18,-2.03087403851961
2.4,0,20,-1.61849430912565
2.4,0,22,-1.28627521760512
2.4,0,24,-1.02225450646278
2.4,0,26,-0.813347594106432
2.4,0,28,-0.645814332047844
2.4,0,30,-0.505851978411877
2.4,0,32,-0.380373688312165
2.4,0,34,-0.257930946693094
2.4,0,36,-0.129633739231224
2.4,0,38,0.0101459831894648
2.4,0,40,0.163488251783972
2.4,0,42,0.329149840006862
2.4,0,44,0.503237639412489
2.4,0,46,0.680142772933004
2.4,0,48,0.85350811631545
2.4,0,50,1.0170484974029
2.4,0,52,1.16513201572636
2.4,0,54,1.29311448997573
2.4,0,56,1.39747095509641
2.4,0,58,1.47578665064764
2.4,0,60,1.52666604530055
2.4,0,62,1.54960455243091
2.4,0,64,1.5448522360246
2.4,0,66,1.51328606918879
2.4,0,68,1.45629825591558
2.4,0,70,1.37570234949568
2.4,0,72,1.27365552523784
2.4,0,74,1.15259355432987
2.4,0,76,1.01517415262313
2.4,0,78,0.864224042027991
2.4,0,80,0.702685050026225
2.4,0,82,0.533554811389505
2.4,0,84,0.359818149441868
2.4,0,86,0.184366083770312
2.4,0,88,0.0099007335600181
2.4,0,90,-0.161173781417311
2.4,0,92,-0.326872040399832
2.4,0,94,-0.485754658684012
2.4,0,96,-0.63705487250804
2.4,0,98,-0.78079524369214
2.4,0,100,-0.917884893987521
2.4,0,102,-1.05018892391439
2.4,0,104,-1.18056469310239
2.4,0,106,-1.31286403633704
2.4,0,108,-1.45190543860358
2.4,0,110,-1.60342467027886
2.4,0,112,-1.7740154633119
2.4,0,114,-1.97107288382887
2.4,0,116,-2.20275085804156
2.4,0,118,-2.47794164777384
2.4,0,120,-2.80627825270222
2.4,0,122,-3.19814846486048
2.4,0,124,-3.66468570667918
2.4,0,126,-4.21765293090933
2.4,0,128,-4.86903015133047
2.4,0,130,-5.62988345949845
2.4,0,132,-6.50758607872632
2.4,0,134,-7.49942038289423
2.4,0,136,-8.57884886738153
2.4,0,138,-9.66990199806146
