"Freq [GHz]","Phi [deg]","Theta [deg]","ang_deg(rEPhi) [deg]"
0.9,0,130,-15.4080285851947
0.9,0,132,-14.1520953975563
0.9,0,134,-12.7849346155312
0.9,0,136,-11.3043641349385
0.9,0,138,-9.70782624620462
0.9,0,140,-7.9923231287851
0.9,0,142,-6.15436162303262
0.9,0,144,-4.18991281297854
0.9,0,146,-2.09439334779539
0.9,0,148,0.137322888064912
0.9,0,150,2.51085219864667
0.9,0,152,5.03219493775683
0.9,0,154,7.70756116785419
0.9,0,156,10.5431121107274
0.9,0,158,13.5446014610248
0.9,0,160,16.7169033670502
0.9,0,162,20.0634208515324
0.9,0,164,23.5853813753499
0.9,0,166,27.2810464740213
0.9,0,168,31.1448899005779
0.9,0,170,35.1668308103599
0.9,0,172,39.3316386777982
0.9,0,174,43.6186442442829
0.9,0,176,48.0018832289767
0.9,0,178,52.4507569934436
0.9,0,180,56.9312164787637
2.4,0,0,41.9752330021126
2.4,0,2,43.5804998108304
2.4,0,4,45.6709155378133
2.4,0,6,48.1696551113819
2.4,0,8,50.9842068510361
2.4,0,10,54.0112810083387
2.4,0,12,57.1443573810663
2.4,0,14,60.2824049571208
2.4,0,16,63.3377700587761
2.4,0,18,66.2415486074977
2.4,0,20,68.9457230371755
2.4,0,22,71.422393206185
2.4,0,24,73.6610846238409
2.4,0,26,75.6652473451112
2.4,0,28,77.4488263413577
2.4,0,30,79.0334298416928
2.4,0,32,80.4463149880763
2.4,0,34,81.7192144157761
2.4,0,36,82.8879375085943
2.4,0,38,83.9926639699959
2.4,0,40,85.0788722758968
2.4,0,42,86.1988863023296
2.4,0,44,87.4140590152128
2.4,0,46,88.7976152686714
2.4,0,48,90.4380928781841
2.4,0,50,92.4430354090587
2.4,0,52,94.9418580484264
2.4,0,54,98.0851831562101
2.4,0,56,102.034830553247
2.4,0,58,106.934063406586
2.4,0,60,112.844977876896
2.4,0,62,119.650243360618
2.4,0,64,126.953081278823
2.4,0,66,134.045493434474
2.4,0,68,139.93606752998
2.4,0,70,143.052499400744
2.4,0,72,138.023191788091
2.4,0,74,67.5855578716275
2.4,0,76,7.08140492212105
2.4,0,78,-0.0022635844571444
2.4,0,80,-1.77840320386656
2.4,0,82,-2.47390337263239
2.4,0,84,-2.93371107832365
2.4,0,86,-3.38448398870088
2.4,0,88,-3.8803093707565
2.4,0,90,-4.4160918627551
2.4,0,92,-4.96390085226807
2.4,0,94,-5.4860386473914
2.4,0,96,-5.9397853625793
2.4,0,98,-6.27878111400309
2.4,0,100,-6.45289250178443
2.4,0,102,-6.40731265886675
2.4,0,104,-6.08124391817649
2.4,0,106,-5.40641055303264
2.4,0,108,-4.30573818179038
2.4,0,110,-2.69282659809621
2.4,0,112,-0.473399782330208
2.4,0,114,2.44921647775546
2.4,0,116,6.1615555722455
2.4,0,118,10.7171782138292
2.4,0,120,16.1030727909337
2.4,0,122,22.2032214101113
2.4,0,124,28.7798212305952
2.4,0,126,35.4968487218376
2.4,0,128,41.9901115943285
2.4,0,130,47.9516062731978
2.4,0,132,53.1830831088206
2.4,0,134,57.6005281911763
2.4,0,136,61.2050750680705
2.4,0,138,64.0456161985304
2.4,0,140,66.1886827243921
2.4,0,142,67.6994572060267
2.4,0,144,68.6318306004452
2.4,0,146,69.024190569805
2.4,0,148,68.8983697596057
2.4,0,150,68.2602735167037
2.4,0,152,67.1016223894086
2.4,0,154,65.4029528287572
2.4,0,156,63.138596075844
2.4,0,158,60.2847918010203
2.4,0,160,56.8321550903512
2.4,0,162,52.8028394488854
2.4,0,164,48.2702029920497
2.4,0,166,43.3746289598533
2.4,0,168,38.3257854487058
2.4,0,170,33.383877778242
2.4,0,172,28.822796027458
2.4,0,174,24.8901367006747
2.4,0,176,21.7815229167234
2.4,0,178,19.6368359633703
2.4,0,180,18.5535064587215
4,0,0,-68.4466559322845
4,0,2,-58.0078473155847
4,0,4,-46.0788319282644
4,0,6,-35.4690116919174
4,0,8,-27.3955082313567
4,0,10,-21.4880397835198
4,0,12,-16.8945844958104
4,0,14,-12.8384363227785
4,0,16,-8.70396621560337
4,0,18,-3.98778374498475
4,0,20,1.74513164479258
4,0,22,8.85035620398159
4,0,24,17.5054712843366
4,0,26,27.5315586545563
4,0,28,38.2733552169404
4,0,30,48.7701509714635
4,0,32,58.1886408489461
4,0,34,66.1269733732431
4,0,36,72.5815020483837
4,0,38,77.7522190503906
4,0,40,81.8838567290548
4,0,42,85.1880997523438
4,0,44,87.8193229467975
4,0,46,89.8744687603688
4,0,48,91.4012607800966
4,0,50,92.4081848008729
4,0,52,92.8737929878471
4,0,54,92.7543721048131
4,0,56,91.989571545551
4,0,58,90.5060071330805
4,0,60,88.2194200373853
4,0,62,85.0367452280135
4,0,64,80.8604499941811
4,0,66,75.5986476009121
4,0,68,69.1851558400545
4,0,70,61.6119779671181
4,0,72,52.969464113558
4,0,74,43.4758454034313
4,0,76,33.4678313619374
4,0,78,23.3377276701206
4,0,80,13.4418743327101
4,0,82,4.03108623528461
4,0,84,-4.76646750942403
4,0,86,-12.9199424209936
4,0,88,-20.4561400194281
4,0,90,-27.4256480789556
4,0,92,-33.8810296196412
4,0,94,-39.8651005248078
4,0,96,-45.4048188611154
4,0,98,-50.5056560499719
4,0,100,-55.1381067637165
4,0,102,-59.1896840329751
4,0,104,-62.2313366789215
4,0,106,-61.0616133941702
4,0,108,92.9334342199717
4,0,110,99.6772931348791
4,0,112,98.2112410757243
4,0,114,96.0340507622023
4,0,116,93.7783111586781
4,0,118,91.5809397670949
4,0,120,89.467370648966
4,0,122,87.422746924164
4,0,124,85.4112410327323
4,0,126,83.3817487776839
4,0,128,81.2685760595367
4,0,130,78.9895140609306
4,0,132,76.4419698710539
4,0,134,73.4973068334931
